,UTC_Start,UTC_Stop_WAS,UTC_Mean_1s,P,T,TAS,U,V,W,lat,lon,OCS_WAS,DMS_WAS,CFC12_WAS,CFC11_WAS,CFC113_WAS,CFC114_WAS,HFC134a_WAS,HCFC22_WAS,HCFC142b_WAS,HCFC141b_WAS,H1301_WAS,H2402_WAS,H1211_WAS,CH3CCl3_WAS,CCl4_WAS,CHCl3_WAS,CH2Cl2_WAS,C2Cl4_WAS,CH3Cl_WAS,CH3Br_WAS,CH3I_WAS,CH2Br2_WAS,CHBrCl2_WAS,CHBr2Cl_WAS,CHBr3_WAS,CH2ClCH2Cl_WAS,MeONO2_WAS,EthONO2_WAS,iPropONO2_WAS,nPropONO2_WAS,x2ButONO2_WAS,x3PentONO2_WAS,x2PentONO2_WAS,x3Me2ButONO2_WAS,Ethane_WAS,Ethene_WAS,Ethyne_WAS,Propane_WAS,Propene_WAS,iButane_WAS,nButane_WAS,iPentane_WAS,nPentane_WAS,Isoprene_WAS,nHexane_WAS,nHeptane_WAS,x2MePentane_WAS,x3MePentane_WAS,Benzene_WAS,Toluene_WAS,EthBenzene_WAS,mpXylene_WAS,oXylene_WAS,mission
73,1487547180.0,1487547218.0,84800.0,1000.50564102564,277.504871794872,136.038974358974,-3.00717948717949,-10.5069230769231,0.128051282051282,43.344555,206.908315,556.0,-8888.0,514.0,231.0,71.3,16.69,96.9,255.0,23.3,27.1,3.416,0.444,3.579,2.66,83.1,18.2,67.28,3.074,550.0,6.56,0.582,1.132,0.396,0.293,2.131,19.94,8.04,3.24,7.803,1.159,8.73,3.445,3.811,2.932,2189.0,58,457.0,831.0,-8888,134,244,68,51,-8888,20,5.0,11.0,7.0,125,20,3,5,3,2.0
74,1487547300.0,1487547338.0,84920.0,1000.56641025641,277.915641025641,131.245384615385,-1.89179487179487,-9.92,0.255435897435897,43.205625,206.994705,545.0,-8888.0,513.0,232.0,71.4,16.56,96.1,251.0,23.2,26.5,3.347,0.462,3.528,2.64,82.6,18.24,67.05,3.118,527.0,6.5,0.57,1.115,0.378,0.248,1.6,20.44,8.134,3.094,7.699,1.105,8.69,3.35,4.066,2.794,2228.0,58,467.0,820.0,-8888,131,239,64,52,-8888,15,-8888.0,10.0,7.0,143,25,4,3,-8888,2.0
75,1487547450.0,1487547490.0,85071.0,934.002682926829,272.704634146341,138.02512195122,-2.05170731707317,-10.7307317073171,0.188560975609756,43.027726,207.102662,546.0,-8888.0,519.0,233.0,71.9,16.71,96.6,253.0,23.3,26.9,3.428,0.45,3.579,2.66,82.7,17.88,66.81,3.073,529.0,6.46,0.567,1.124,0.378,0.278,2.124,21.0,7.975,3.175,7.689,1.088,8.425,3.272,3.517,2.788,2195.0,58,463.0,839.0,-8888,135,241,67,52,-8888,17,6.0,11.0,6.0,138,17,3,-8888,-8888,2.0
76,1487547600.0,1487547648.0,85225.0,775.52306122449,263.027551020408,141.140408163265,-1.54673469387755,-9.28244897959184,0.237224489795918,42.84417,207.215736,556.0,-8888.0,518.0,232.0,71.4,16.73,96.3,257.0,23.5,26.6,3.364,0.46,3.555,2.66,82.6,18.02,64.89,2.901,546.0,6.54,0.436,1.091,0.383,0.278,1.962,20.06,6.965,2.923,7.534,1.155,9.138,3.688,3.787,3.105,2080.0,49,436.0,756.0,-8888,122,214,59,43,-8888,16,-8888.0,8.0,5.0,129,20,-8888,-8888,-8888,2.0
77,1487547720.0,1487547767.0,85344.5,679.378125,262.16625,152.870208333333,1.68166666666667,-14.02375,0.447229166666667,42.693406,207.307636,549.0,-8888.0,510.0,,,16.41,92.1,247.0,22.6,,3.287,0.456,3.434,,,,56.87,,547.0,6.89,0.037,,0.126,,0.087,4.21,3.825,0.402,0.312,0.054,0.196,0.086,,0.043,1457.0,27,272.0,398.0,-8888,29,66,4,3,-8888,-8888,-8888.0,-8888.0,-8888.0,13,-8888,-8888,-8888,-8888,2.0
78,1487547900.0,1487547936.0,85519.0,587.079189189189,261.057567567568,193.944054054054,13.6994594594595,-30.0735135135135,-0.340432432432432,42.400655,207.4839425,578.0,-8888.0,521.0,234.0,71.0,16.72,95.9,258.0,23.5,26.7,3.383,0.469,3.609,2.68,87.2,17.88,73.23,3.715,584.0,7.03,0.089,1.079,0.41,0.337,1.212,33.98,7.739,5.562,8.077,0.495,0.829,0.079,,0.111,1767.0,54,426.0,585.0,-8888,84,137,34,22,-8888,8,-8888.0,-8888.0,-8888.0,110,-8888,-8888,-8888,-8888,2.0
79,1487548050.0,1487548097.0,85674.5,483.1625,251.955833333333,201.675208333333,15.0435416666667,-31.935,-0.168333333333333,42.104922,207.660282,560.0,-8888.0,507.0,226.0,71.4,16.16,91.3,248.0,22.1,26.8,3.362,0.457,3.546,2.79,84.9,17.5,67.33,3.336,543.0,6.49,0.032,1.177,0.43,0.264,0.759,29.77,8.609,3.999,4.489,0.2,0.448,0.071,,0.093,1678.0,28,336.0,458.0,-8888,53,89,15,10,-8888,5,-8888.0,-8888.0,-8888.0,70,-8888,-8888,-8888,-8888,2.0
80,1487548200.0,1487548251.0,85826.5,412.572884615385,243.005961538462,213.3925,19.1951923076923,-33.3780769230769,0.0571538461538462,41.794675,207.843426666667,543.0,-8888.0,515.0,233.0,71.0,16.31,92.9,248.0,22.5,26.0,3.332,0.444,3.57,2.61,82.4,14.42,57.52,1.882,556.0,6.64,0.022,0.864,0.297,0.137,0.374,16.88,7.331,2.138,2.779,0.09,0.202,0.048,,0.033,1356.0,16,236.0,250.0,-8888,19,38,5,-8888,-8888,-8888,-8888.0,-8888.0,-8888.0,21,-8888,-8888,-8888,-8888,2.0
81,1487548380.0,1487548433.0,86007.5,343.64462962963,232.705,221.786296296296,20.6955555555556,-31.5264814814815,0.0410925925925926,41.416035,208.06433,572.0,-8888.0,518.0,,,16.69,95.6,256.0,22.9,24.9,3.434,0.433,3.605,2.31,,14.07,62.01,,578.0,6.97,0.01,0.547,0.189,0.041,0.09,7.51,6.654,0.637,0.533,0.028,0.063,,,,1411.0,16,295.0,300.0,-8888,19,32,-8888,-8888,-8888,-8888,-8888.0,-8888.0,-8888.0,7,-8888,-8888,-8888,-8888,2.0
82,1487548560.0,1487548620.0,86191.0,303.980491803279,225.40262295082,234.42868852459,22.0824590163934,-30.1398360655738,-0.181344262295082,41.0120142857143,208.296975714286,565.0,-8888.0,517.0,,,16.58,93.9,253.0,22.8,,3.405,0.425,3.582,2.35,,14.27,64.62,,574.0,6.98,0.009,0.484,0.177,0.04,0.091,6.44,7.505,0.564,0.356,0.021,0.055,,,,1429.0,18,321.0,305.0,-8888,18,28,-8888,-8888,-8888,-8888,-8888.0,-8888.0,-8888.0,-8888,-8888,-8888,-8888,-8888,2.0
