,UTC_Start,UTC_Stop_WAS,UTC_Mean_1s,MSL_GPS_Altitude,P,T,TAS,U,V,W,lat,lon,OCS_WAS,DMS_WAS,CFC12_WAS,CFC11_WAS,CFC113_WAS,CFC114_WAS,HFC134a_WAS,HCFC22_WAS,HCFC142b_WAS,HCFC141b_WAS,H1301_WAS,H2402_WAS,H1211_WAS,CH3CCl3_WAS,CCl4_WAS,CHCl3_WAS,CH2Cl2_WAS,C2Cl4_WAS,CH3Cl_WAS,CH3Br_WAS,CH3I_WAS,CH2Br2_WAS,CHBrCl2_WAS,CHBr2Cl_WAS,CHBr3_WAS,CH2ClCH2Cl_WAS,MeONO2_WAS,EthONO2_WAS,iPropONO2_WAS,nPropONO2_WAS,x2ButONO2_WAS,x3PentONO2_WAS,x2PentONO2_WAS,x3Me2ButONO2_WAS,Ethane_WAS,Ethene_WAS,Ethyne_WAS,Propane_WAS,Propene_WAS,iButane_WAS,nButane_WAS,iPentane_WAS,nPentane_WAS,Isoprene_WAS,nHexane_WAS,nHeptane_WAS,x2MePentane_WAS,x3MePentane_WAS,Benzene_WAS,Toluene_WAS,EthBenzene_WAS,mpXylene_WAS,oXylene_WAS,O3_CL,O3_CL_2sigma,O3_GMI,OH_GMI,HCFC22_GMI,CFC11_GMI,mission
57,1471889190.0,1471889254.0,1471889222.0,651.107692307692,939.949538461539,295.770615384615,153.553538461538,-3.42430769230769,-4.03046153846154,0.159261538461538,11.5618128571429,239.483045714286,542.0,11.41,511.0,229.0,72.4,16.06,86.2,228.0,21.3,24.3,3.369,0.432,3.648,2.72,83.5,9.09,22.37,0.564,536.0,6.64,0.625,0.98,0.232,0.162,0.841,4.26,11.0,1.418,0.998,0.098,0.4,,,0.037,235.0,9,16.0,9.0,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888.0,-8888.0,-8888.0,3,-8888,-8888,-8888,-8888,8.93918461538462,0.289092307692308,9.45804857142857,0.0001318671428571,0.280764,0.223229,1.0
58,1471889350.0,1471889414.0,1471889382.0,169.769230769231,992.223538461539,299.421076923077,136.392769230769,-2.18215384615385,-2.96569230769231,0.261076923076923,11.3487842857143,239.4827,532.0,13.46,510.0,228.0,71.8,15.91,86.4,231.0,21.3,24.0,3.314,0.43,3.515,2.67,83.0,8.94,23.04,0.574,530.0,6.96,0.72,1.056,0.243,0.174,0.936,3.87,11.954,1.531,1.139,0.137,0.364,0.22,0.083,0.041,229.0,8,18.0,11.0,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888.0,-8888.0,-8888.0,3,-8888,-8888,-8888,-8888,7.81763076923077,0.2548,9.24463857142857,0.0001170457142857,0.280896,0.22323,1.0
59,1471889460.0,1471889554.0,1471889507.0,172.736842105263,991.840421052632,299.337368421053,137.182842105263,-1.62357894736842,-3.50936842105263,0.247021052631579,11.188954,239.482909,543.0,15.6,511.0,228.0,71.7,16.0,87.3,230.0,21.3,24.5,3.364,0.434,3.662,2.68,82.7,8.76,21.64,0.562,539.0,6.76,0.687,0.979,0.229,0.152,0.9,3.6,12.034,1.511,0.911,0.129,0.382,0.214,0.078,0.033,231.0,9,15.0,9.0,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888.0,-8888.0,-8888.0,3,-8888,-8888,-8888,-8888,7.76233684210526,0.253136842105263,9.124428,0.0001179088,0.280896,0.22323,1.0
60,1471889640.0,1471889694.0,1471889667.0,400.945454545455,965.422363636364,297.333454545455,143.977454545455,-2.286,-3.56454545454545,0.128509090909091,10.9870216666667,239.483088333333,530.0,13.53,509.0,229.0,72.2,15.98,87.4,226.0,21.3,24.1,3.371,0.432,3.516,2.71,83.6,9.03,22.75,0.539,532.0,6.63,0.687,0.989,0.231,0.145,0.978,4.12,12.001,1.483,0.955,0.112,0.331,,,0.013,229.0,8,17.0,9.0,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888.0,-8888.0,-8888.0,3,-8888,-8888,-8888,-8888,7.4988,0.245545454545455,9.04725166666667,0.0001290233333333,0.280821333333333,0.2232295,1.0
61,1471889790.0,1471889842.0,1471889816.0,1975.56603773585,804.333962264151,288.794339622642,152.880566037736,-4.59245283018868,-3.45905660377358,0.184867924528302,10.7778666666667,239.482936666667,530.0,5.43,508.0,227.0,71.6,15.99,87.0,228.0,21.1,24.2,3.345,0.41,3.48,2.68,82.7,9.08,23.38,0.55,538.0,6.82,0.488,0.933,0.235,0.14,1.087,4.23,9.189,1.342,1.248,0.152,0.568,0.187,0.091,,290.0,6,22.0,21.0,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888.0,-8888.0,-8888.0,4,-8888,-8888,-8888,-8888,13.9481698113208,0.441377358490566,19.2616666666667,0.0003148645,0.279421833333333,0.223216333333333,1.0
62,1471889940.0,1471890004.0,1471889972.0,3403.58461538462,679.175230769231,281.974769230769,171.710923076923,-5.52907692307692,-2.96446153846154,0.0948461538461538,10.5520628571429,239.483087142857,537.0,0.83,510.0,228.0,71.6,16.05,88.5,232.0,21.6,24.8,3.333,0.411,3.499,2.7,82.4,9.32,25.83,0.689,556.0,7.01,0.333,1.042,0.235,0.14,0.867,4.51,6.919,1.48,1.715,0.297,1.068,0.216,0.23,0.068,366.0,8,29.0,37.0,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888.0,-8888.0,-8888.0,4,-8888,-8888,-8888,-8888,27.7881846153846,0.858538461538462,19.1499142857143,0.0003635145714285,0.279946142857143,0.223219285714286,1.0
63,1471890090.0,1471890157.0,1471890123.5,4364.08823529412,604.036911764706,275.781617647059,195.063235294118,-5.53970588235294,-2.40970588235294,-0.221661764705882,10.2935928571429,239.487795714286,532.0,2.71,512.0,231.0,72.8,16.15,87.5,230.0,21.2,24.2,3.371,0.431,3.502,2.71,84.3,9.3,28.84,0.681,557.0,7.05,0.402,0.948,0.245,0.152,0.885,4.74,7.494,1.318,1.638,0.197,0.963,0.189,0.128,0.037,336.0,3,25.0,33.0,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888.0,-8888.0,-8888.0,4,-8888,-8888,-8888,-8888,28.6063088235294,0.884455882352941,22.1252142857143,0.0003940681428571,0.279852285714286,0.223205571428571,1.0
64,1471890240.0,1471890286.0,1471890263.0,5453.55319148936,527.737659574468,271.031489361702,195.708085106383,-4.87702127659574,-4.87255319148936,-0.053936170212766,10.046148,239.501086,528.0,0.28,510.0,227.0,71.7,15.9,90.4,229.0,21.2,24.8,3.403,0.41,3.667,2.68,82.7,9.32,25.63,0.775,547.0,6.67,0.219,0.899,0.236,0.15,0.976,4.68,5.666,1.16,1.987,0.209,1.231,0.209,0.179,0.083,395.0,-8888,36.0,51.0,-8888,3,-8888,-8888,-8888,-8888,-8888,-8888.0,-8888.0,-8888.0,4,-8888,-8888,-8888,-8888,47.9257021276596,1.46553191489362,34.49746,0.000593253,0.2794998,0.2231618,1.0
65,1471890390.0,1471890445.0,1471890417.5,6208.46428571429,479.814285714286,266.578571428571,216.077857142857,-0.294464285714286,-3.56660714285714,-0.135928571428571,9.753355,239.492495,556.0,0.18,513.0,229.0,72.2,16.15,89.6,241.0,21.7,25.2,3.365,0.411,3.519,2.71,83.1,9.34,26.44,0.732,556.0,7.11,0.244,0.919,0.237,0.143,0.788,4.8,7.525,1.466,1.761,0.331,1.196,0.37,0.411,0.075,360.0,-8888,30.0,37.0,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888.0,-8888.0,-8888.0,5,3,-8888,-8888,-8888,43.9263571428571,1.34666071428571,42.0984166666667,0.000681389,0.279296,0.223134166666667,1.0
66,1471890540.0,1471890603.0,1471890571.5,7509.90625,405.20453125,257.85703125,216.00734375,-0.1528125,-4.85171875,-0.261828125,9.44791857142857,239.441104285714,539.0,0.18,512.0,229.0,72.4,16.13,91.2,231.0,21.2,25.4,3.46,0.421,3.579,2.71,84.3,9.38,23.28,0.763,550.0,6.93,0.225,0.934,0.241,0.141,0.986,4.67,7.584,1.391,1.877,0.276,1.266,0.227,0.13,0.071,383.0,-8888,30.0,53.0,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888.0,-8888.0,-8888.0,4,-8888,-8888,-8888,-8888,43.67853125,1.341078125,41.7813142857143,0.0006261488571428,0.279370142857143,0.223146428571429,1.0
